@relation predictor
@attribute 1level numeric
@attribute 2level numeric
@attribute 3level numeric
@attribute 4level numeric
@attribute 5level numeric
@attribute 6level numeric
@attribute 7level numeric
@attribute 8level numeric
@attribute 9level numeric
@attribute 10level numeric
@attribute 11level numeric
@attribute 12level numeric
@attribute 13level numeric
@attribute 14level numeric
@attribute 15level numeric
@attribute 16level numeric
@attribute 17level numeric
@attribute 18level numeric
@attribute 19level numeric
@attribute 20level numeric
@attribute 21level numeric
@attribute 22level numeric
@attribute 23level numeric
@attribute 24level numeric
@attribute 25level numeric
@attribute 26level numeric
@attribute 27level numeric
@attribute 28level numeric
@attribute 29level numeric
@attribute 30level numeric
@attribute 31level numeric
@attribute 32level numeric
@attribute 33level numeric
@attribute 34level numeric
@attribute 35level numeric
@attribute 36level numeric
@attribute 37level numeric
@attribute 38level numeric
@attribute 39level numeric
@attribute 40level numeric
@attribute 41level numeric
@attribute 42level numeric
@attribute 43level numeric
@attribute 44level numeric
@attribute 45level numeric
@attribute 46level numeric
@attribute 47level numeric
@attribute 48level numeric
@attribute 49level numeric
@attribute 50level numeric
@attribute 51level numeric
@attribute 52level numeric
@attribute 53level numeric
@attribute 54level numeric
@attribute 55level numeric
@attribute 56level numeric
@attribute 57level numeric
@attribute 58level numeric
@attribute 59level numeric
@attribute 60level numeric
@attribute 61level numeric
@attribute 62level numeric
@attribute 63level numeric
@attribute 64level numeric
@attribute 65level numeric
@attribute 66level numeric
@attribute 67level numeric
@attribute 68level numeric
@attribute 69level numeric
@attribute 70level numeric
@attribute 71level numeric
@attribute 72level numeric
@attribute 73level numeric
@attribute 74level numeric
@attribute 75level numeric
@attribute 76level numeric
@attribute 77level numeric
@attribute 78level numeric
@attribute 79level numeric
@attribute 80level numeric
@attribute 81level numeric
@attribute 82level numeric
@attribute 83level numeric
@attribute 84level numeric
@attribute 85level numeric
@attribute 86level numeric
@attribute 87level numeric
@attribute 88level numeric
@attribute 89level numeric
@attribute 90level numeric
@attribute 91level numeric
@attribute 92level numeric
@attribute 93level numeric
@attribute 94level numeric
@attribute 95level numeric
@attribute 96level numeric
@attribute 97level numeric
@attribute 98level numeric
@attribute 99level numeric
@attribute 100level numeric
@attribute 101level numeric
@attribute 102level numeric
@attribute 103level numeric
@attribute 104level numeric
@attribute 105level numeric
@attribute 106level numeric
@attribute 107level numeric
@attribute 108level numeric
@attribute 109level numeric
@attribute 110level numeric
@attribute 111level numeric
@attribute 112level numeric
@attribute 113level numeric
@attribute 114level numeric
@attribute 115level numeric
@attribute 116level numeric
@attribute 117level numeric
@attribute 118level numeric
@attribute 119level numeric
@attribute 120level numeric
@attribute 121level numeric
@attribute 122level numeric
@attribute 123level numeric
@attribute 124level numeric
@attribute 125level numeric
@attribute 126level numeric
@attribute 127level numeric
@attribute 128level numeric
@attribute 129level numeric
@attribute 130level numeric
@attribute 131level numeric
@attribute 132level numeric
@attribute 133level numeric
@attribute 134level numeric
@attribute 135level numeric
@attribute 136level numeric
@attribute 137level numeric
@attribute 138level numeric
@attribute 139level numeric
@attribute 140level numeric
@attribute 141level numeric
@attribute 142level numeric
@attribute 143level numeric
@attribute 144level numeric
@attribute 145level numeric
@attribute 146level numeric
@attribute 147level numeric
@attribute 148level numeric
@attribute 149level numeric
@attribute 150level numeric
@attribute 151level numeric
@attribute 152level numeric
@attribute 153level numeric
@attribute 154level numeric
@attribute 155level numeric
@attribute 156level numeric
@attribute 157level numeric
@attribute 158level numeric
@attribute 159level numeric
@attribute 160level numeric
@attribute 161level numeric
@attribute 162level numeric
@attribute 163level numeric
@attribute 164level numeric
@attribute 165level numeric
@attribute 166level numeric
@attribute 167level numeric
@attribute 168level numeric
@attribute 169level numeric
@attribute 170level numeric
@attribute 171level numeric
@attribute 172level numeric
@attribute 173level numeric
@attribute 174level numeric
@attribute 175level numeric
@attribute 176level numeric
@attribute 177level numeric
@attribute 178level numeric
@attribute 179level numeric
@attribute 180level numeric
@attribute 181level numeric
@attribute 182level numeric
@attribute 183level numeric
@attribute 184level numeric
@attribute 185level numeric
@attribute 186level numeric
@attribute 187level numeric
@attribute 188level numeric
@attribute 189level numeric
@attribute 190level numeric
@attribute 191level numeric
@attribute 192level numeric
@attribute 193level numeric
@attribute 194level numeric
@attribute 195level numeric
@attribute 196level numeric
@attribute 197level numeric
@attribute 198level numeric
@attribute 199level numeric
@attribute 200level numeric
@attribute 201level numeric
@attribute 202level numeric
@attribute 203level numeric
@attribute 204level numeric
@attribute 205level numeric
@attribute 206level numeric
@attribute 207level numeric
@attribute 208level numeric
@attribute 209level numeric
@attribute 210level numeric
@attribute 211level numeric
@attribute 212level numeric
@attribute 213level numeric
@attribute 214level numeric
@attribute 215level numeric
@attribute 216level numeric
@attribute 217level numeric
@attribute 218level numeric
@attribute 219level numeric
@attribute 220level numeric
@attribute 221level numeric
@attribute 222level numeric
@attribute 223level numeric
@attribute 224level numeric
@attribute 225level numeric
@attribute 226level numeric
@attribute 227level numeric
@attribute 228level numeric
@attribute 229level numeric
@attribute 230level numeric
@attribute 231level numeric
@attribute 232level numeric
@attribute 233level numeric
@attribute 234level numeric
@attribute 235level numeric
@attribute 236level numeric
@attribute 237level numeric
@attribute 238level numeric
@attribute 239level numeric
@attribute 240level numeric
@attribute 241level numeric
@attribute 242level numeric
@attribute 243level numeric
@attribute 244level numeric
@attribute 245level numeric
@attribute 246level numeric
@attribute 247level numeric
@attribute 248level numeric
@attribute 249level numeric
@attribute 250level numeric
@attribute 251level numeric
@attribute 252level numeric
@attribute 253level numeric
@attribute 254level numeric
@attribute 255level numeric
@attribute 256level numeric
@attribute faceId numeric
@data
0.0,0.0,0.0,0.0,2.0,4.0,15.0,23.0,27.0,12.0,15.0,4.0,11.0,2.0,4.0,6.0,4.0,5.0,4.0,3.0,6.0,3.0,3.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,4.0,3.0,0.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,13.0,9.0,6.0,8.0,13.0,12.0,7.0,7.0,4.0,6.0,3.0,5.0,7.0,8.0,6.0,8.0,5.0,6.0,2.0,3.0,3.0,7.0,4.0,5.0,7.0,5.0,8.0,6.0,7.0,3.0,6.0,6.0,4.0,5.0,6.0,2.0,5.0,3.0,4.0,2.0,6.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,5.0,2.0,1.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11427
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,5.0,2.0,1.0,5.0,5.0,1.0,4.0,0.0,2.0,2.0,3.0,1.0,4.0,0.0,3.0,5.0,5.0,3.0,1.0,7.0,5.0,2.0,7.0,6.0,4.0,3.0,8.0,3.0,3.0,10.0,4.0,7.0,8.0,5.0,7.0,4.0,8.0,9.0,5.0,2.0,4.0,5.0,11.0,7.0,6.0,6.0,3.0,3.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11433
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,0.0,4.0,2.0,3.0,2.0,5.0,6.0,3.0,8.0,3.0,4.0,1.0,2.0,1.0,5.0,3.0,4.0,3.0,5.0,3.0,6.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,6.0,5.0,5.0,1.0,4.0,3.0,1.0,5.0,4.0,1.0,4.0,3.0,7.0,2.0,1.0,4.0,1.0,2.0,3.0,5.0,3.0,10.0,5.0,7.0,0.0,5.0,4.0,12.0,8.0,15.0,8.0,5.0,4.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11435
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,6.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,4.0,6.0,10.0,6.0,10.0,6.0,12.0,14.0,6.0,4.0,8.0,8.0,10.0,8.0,4.0,12.0,4.0,2.0,18.0,12.0,6.0,2.0,6.0,8.0,4.0,2.0,2.0,2.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11436
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,8.0,5.0,3.0,3.0,3.0,1.0,4.0,6.0,3.0,1.0,2.0,2.0,0.0,0.0,5.0,4.0,2.0,2.0,3.0,6.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,6.0,5.0,2.0,1.0,3.0,2.0,1.0,6.0,5.0,2.0,3.0,3.0,4.0,2.0,2.0,10.0,5.0,2.0,1.0,3.0,3.0,1.0,6.0,6.0,5.0,2.0,6.0,2.0,5.0,2.0,4.0,4.0,2.0,4.0,5.0,6.0,6.0,3.0,4.0,1.0,2.0,0.0,1.0,4.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11437
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,4.0,2.0,2.0,4.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,0.0,1.0,2.0,5.0,0.0,2.0,0.0,2.0,0.0,5.0,4.0,0.0,2.0,1.0,3.0,1.0,0.0,3.0,3.0,1.0,5.0,1.0,2.0,0.0,1.0,7.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,5.0,1.0,4.0,4.0,1.0,3.0,2.0,4.0,2.0,3.0,5.0,1.0,5.0,2.0,3.0,2.0,4.0,5.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11438
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,5.0,1.0,2.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,0.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,1.0,1.0,3.0,4.0,3.0,0.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,6.0,3.0,5.0,0.0,4.0,2.0,10.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11443
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,6.0,4.0,6.0,3.0,2.0,4.0,0.0,4.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,0.0,6.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,4.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,3.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,7.0,11.0,10.0,17.0,15.0,11.0,14.0,14.0,14.0,9.0,6.0,9.0,6.0,4.0,5.0,6.0,2.0,5.0,2.0,1.0,1.0,2.0,4.0,1.0,4.0,5.0,3.0,2.0,2.0,6.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11446
